Machine ID	Machine Name	Operational Status	Load %	Max Molds	Mold ID	Mold Size	Quantity	Status Note	Running Time
M-01	Molding Machine 01	active	83	12	OV-394 L2	12.5#	1	OK	210h 41m
M-01	Molding Machine 01	active	83	12	OV-394 L2	12#	1	OK	210h 41m
M-01	Molding Machine 01	active	83	12	OV-394 L2	13#	1	OK	210h 41m
M-01	Molding Machine 01	active	83	12	OV-394 L2	14#	1	OK	210h 41m
M-01	Molding Machine 01	active	83	12	OV-394 L2	9.5#	1	OK	188h 59m
M-01	Molding Machine 01	active	83	12	OV-394 L2	9#	1	OK	188h 59m
M-01	Molding Machine 01	active	83	12	OV-394 L2	10#	1	OK	188h 59m
M-01	Molding Machine 01	active	83	12	OV-394 L2	11.5#	1	OK	188h 59m
M-01	Molding Machine 01	active	83	12	OV-394 L2	11#	1	OK	188h 59m
M-01	Molding Machine 01	active	83	12	OV-394 L2	10.5#	1	OK	206h 11m
M-02	Molding Machine 02	active	92	12	OV-394 L2	8#	1	OK	30h 2m
M-02	Molding Machine 02	active	92	12	OV-394 L2	6#	1	OK	30h 2m
M-02	Molding Machine 02	active	92	12	OV-394 L1	4.5#	1	OK	30h 1m
M-02	Molding Machine 02	active	92	12	OV-394 L1	7.5#	1	OK	30h 1m
M-02	Molding Machine 02	active	92	12	OV-394 L2	4.5#	1	OK	30h 2m
M-02	Molding Machine 02	active	92	12	OV-394 L2	3.5#	1	OK	30h 2m
M-02	Molding Machine 02	active	92	12	OV-394 L1	8#	1	OK	30h 1m
M-02	Molding Machine 02	active	92	12	OV-394 L2	7.5#	1	OK	30h 2m
M-02	Molding Machine 02	active	92	12	OV-394 L2	8.5#	1	OK	30h 2m
M-02	Molding Machine 02	active	92	12	OV-394 L2	6.5#	1	OK	30h 2m
M-02	Molding Machine 02	active	92	12	OV-394 L1	6#	1	OK	30h 1m
M-03	Molding Machine 03	active	92	12	OV-0408	5.5#	1	OK	38h 7m
M-03	Molding Machine 03	active	92	12	OV-0408	7#	1	OK	38h 7m
M-03	Molding Machine 03	active	92	12	OV-0408	9.5#	1	OK	38h 7m
M-03	Molding Machine 03	active	92	12	OV-0408	6.5#	1	OK	38h 7m
M-03	Molding Machine 03	active	92	12	OV-0408	10.5#	1	OK	43h 34m
M-03	Molding Machine 03	active	92	12	OV-0408	7.5#	1	OK	43h 34m
M-03	Molding Machine 03	active	92	12	OV-0408	11#	1	OK	38h 6m
M-03	Molding Machine 03	active	92	12	OV-0408	6#	1	OK	38h 5m
M-03	Molding Machine 03	active	92	12	OV-0408	13#	1	OK	26h 43m
M-03	Molding Machine 03	active	92	12	OV-0408	8#	1	OK	43h 34m
M-03	Molding Machine 03	active	92	12	OV-0408	9#	1	OK	43h 34m
M-04	Molding Machine 04	active	100	12	OV-394 L1	8.5#	1	OK	30h 0m
M-04	Molding Machine 04	active	100	12	OV-394 L1	6.5#	1	OK	30h 0m
M-04	Molding Machine 04	active	100	12	OV-394 L1	7#	1	OK	38h 8m
M-04	Molding Machine 04	active	100	12	OV-394 L1	12.5#	1	OK	38h 8m
M-04	Molding Machine 04	active	100	12	OV-394 L1	10.5#	1	OK	38h 39m
M-04	Molding Machine 04	active	100	12	OV-394 L1	9.5#	1	OK	38h 39m
M-04	Molding Machine 04	active	100	12	OV-394 L1	11.5#	1	OK	38h 38m
M-04	Molding Machine 04	active	100	12	OV-394 L1	9#	1	OK	9h 12m
M-04	Molding Machine 04	active	100	12	OV-394 L1	10#	1	OK	38h 39m
M-04	Molding Machine 04	active	100	12	OV-394 L1	11#	1	OK	38h 38m
M-04	Molding Machine 04	active	100	12	OV-394 L1	13#	1	OK	9h 12m
M-04	Molding Machine 04	active	100	12	OV-394 L1	12#	1	OK	38h 38m
M-05	Molding Machine 05	active	92	12	OV-0408	11.5#	1	OK	34h 15m
M-05	Molding Machine 05	active	92	12	OV-0408	3.5#	1	OK	34h 15m
M-05	Molding Machine 05	active	92	12	OV-0408	4.5#	1	OK	34h 15m
M-05	Molding Machine 05	active	92	12	OV-0408	5#	1	OK	34h 15m
M-05	Molding Machine 05	active	92	12	OE-0656	8#	1	OK	34h 14m
M-05	Molding Machine 05	active	92	12	OV-0408	8.5#	1	OK	34h 16m
M-05	Molding Machine 05	active	92	12	OV-0408	10#	1	OK	34h 15m
M-05	Molding Machine 05	active	92	12	OE-0656	7#	1	OK	34h 14m
M-05	Molding Machine 05	active	92	12	OV-0408	12.5#	1	OK	34h 16m
M-05	Molding Machine 05	active	92	12	OV-0408	14#	1	OK	34h 15m
M-05	Molding Machine 05	active	92	12	OV-0408	12#	1	OK	34h 15m
M-06	Molding Machine 06	active	100	12	OSC-0003	5.5#-6.5#	11	OK	34h 33m
M-06	Molding Machine 06	active	100	12	OSC-0003	13#-15#	1	OK	34h 33m
M-07	Molding Machine 07	active	100	12	OV-0420	8-10#	1	OK	202h 40m
M-07	Molding Machine 07	active	100	12	OV-0420	5-7#	1	OK	202h 39m
M-07	Molding Machine 07	active	100	12	OV-0256	5#-6#	10	OK	15h 46m
M-08	Molding Machine 08	active	100	12	OV-0256	6.5#-7.5#	10	OK	15h 45m
M-08	Molding Machine 08	active	100	12	OV-0423	10.5#-11.5#	2	OK	15h 45m
M-09	Molding Machine 09	active	100	12	OV-0428	14#	1	OK	26h 47m
M-09	Molding Machine 09	active	100	12	OV-0428	13#	1	OK	26h 47m
M-09	Molding Machine 09	active	100	12	OV-0428	7.5#	1	OK	25h 45m
M-09	Molding Machine 09	active	100	12	OV-0428	8.5#	1	OK	26h 48m
M-09	Molding Machine 09	active	100	12	OV-0428	9#	1	OK	26h 47m
M-09	Molding Machine 09	active	100	12	OV-0428	10.5#	1	OK	26h 47m
M-09	Molding Machine 09	active	100	12	OV-0428	8#	1	OK	26h 48m
M-09	Molding Machine 09	active	100	12	OV-0428	12#	1	OK	26h 47m
M-09	Molding Machine 09	active	100	12	OV-0428	9.5#	1	OK	26h 48m
M-09	Molding Machine 09	active	100	12	OV-0428	11.5#	1	OK	26h 47m
M-09	Molding Machine 09	active	100	12	OV-0428	10#	1	OK	26h 47m
M-09	Molding Machine 09	active	100	12	OV-0428	11#	1	OK	25h 45m
M-10	Molding Machine 10	active	100	12	OSC-0003	8.5#-9.5#	12	OK	34h 35m
M-11	Molding Machine 11	active	100	12	OSC-0003	10#-11#	8	OK	34h 35m
M-11	Molding Machine 11	active	100	12	OSC-0003	3.5#-5#	4	OK	34h 35m
M-12	Molding Machine 12	active	100	12	OV-0256	9.5#-10.5#	12	OK	343h 33m
M-13	Molding Machine 13	active	100	12	OE-1429	15#	1	OK	19h 33m
M-13	Molding Machine 13	active	100	12	OE-1429	5.5#	1	OK	19h 33m
M-13	Molding Machine 13	active	100	12	OSC-0003	7#-8#	7	OK	22h 32m
M-13	Molding Machine 13	active	100	12	OSC-0003	11.5#-12.5#	3	OK	22h 32m
M-14	Molding Machine 14	active	100	12	OV-0256	9.5#-10.5#	12	OK	343h 33m
M-15	Molding Machine 15	active	100	12	OV-0256	12.5#-13.5#	3	OK	2h 47m
M-15	Molding Machine 15	active	100	12	OV-0256	14#-15#	1	OK	2h 47m
M-15	Molding Machine 15	active	100	12	OV-0256	11#-12#	4	OK	2h 47m
M-15	Molding Machine 15	active	100	12	OV-0256	6.5#-7.5#	4	OK	2h 47m
M-16	Molding Machine 16	active	92	12	OV-0419	3-4#	1	OK	61h 51m
M-16	Molding Machine 16	active	92	12	OV-0419	8-10#	1	OK	77h 16m
M-16	Molding Machine 16	active	92	12	OV-0256	9.5#-10.5#	8	OK	96h 46m
M-16	Molding Machine 16	active	92	12	OV-0419	5-7#	1	OK	61h 51m
M-17	Molding Machine 17	active	100	12	OV-0256	6.5#-7.5#	12	OK	2h 46m
M-18	Molding Machine 18	active	100	12	OV-0256	6.5#-7.5#	12	OK	111h 14m
M-19	Molding Machine 19	active	92	12	OV-0339	11#-12#	3	OK	27h 52m
M-19	Molding Machine 19	active	92	12	OV-0339	6.5#-7.5#	4	OK	27h 52m
M-19	Molding Machine 19	active	92	12	OV-0339	8#-9#	4	OK	27h 52m
M-20	Molding Machine 20	active	100	12	OV-0436	12.5#-14#	1	OK	172h 41m
M-20	Molding Machine 20	active	100	12	OV-0436	3.5#-4.5#	1	OK	147h 11m
